lambda,K,mu_s,mu_f,ks,kf,backup_strategy,backup_p,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted,s1_util,s2_util,s1_system_timeavg,s1_queue_timeavg,s2_system_timeavg,s2_queue_timeavg,backups_written,cost_per_arrival
2.0,1,0.5,2.0,0,2,random,0.5,6298,1260,5038,1,1,1,1250,0.7999364877738965,0.0007936507936507937,0.0007936507936507937,2.54117933914523,0.7870796538693217,0.19729609625021205,0.7224289002197981,-0.12258062467304305,0.3109350242801813,-0.06933751320309084,67.66666666666667,2.6311942397648345
2.0,1,0.5,2.0,0,2,systematic,1.0,6277,1246,5031,0,0,0,1235,0.8014975306675163,0.0,0.0,2.5610055751338163,0.7935489359003747,0.19170492266533556,0.7028246201556767,-0.14336764941938956,0.2959602146530396,-0.14917393965427955,137.44444444444446,2.666608301778739
2.0,1,0.5,2.0,5,0,none,0.0,6336,1604,4732,302,302,302,1251,0.7468434343434344,0.1882793017456359,0.1882793017456359,11.993887536046831,0.9910754188903379,0.20678680325397925,5.463145996652729,4.384030768279657,0.2619908625234759,-0.1433811764032442,0.0,2.7264206239302844
2.0,1,0.5,2.0,5,0,random,0.5,6348,1656,4692,344,344,165,1258,0.7391304347826086,0.20772946859903382,0.09963768115942029,11.822706960618559,0.9923404511720307,0.2064683619340785,5.469484964714261,4.37545219481421,0.28011706624972194,-0.13277109229662762,87.44444444444444,2.666130895226012
2.0,1,0.5,2.0,5,0,systematic,1.0,6336,1604,4732,302,302,0,1251,0.7468434343434344,0.1882793017456359,0.0,11.993887536046831,0.9910754188903379,0.20678680325397925,5.463145996652729,4.384030768279657,0.2619908625234759,-0.1433811764032442,172.66666666666666,2.609560403065536
2.0,1,0.5,2.0,5,2,none,0.0,6305,1674,4631,35,35,35,1583,0.734496431403648,0.02090800477897252,0.02090800477897252,11.459685371301765,0.9911281679364817,0.2637972760493605,5.43435876969102,4.339836037025076,0.5208339933906962,-0.0914065867847183,0.0,2.496006941901761
2.0,1,0.5,2.0,5,2,random,0.5,6344,1640,4704,27,27,14,1560,0.7414880201765448,0.016463414634146342,0.00853658536585366,11.684407675237825,0.9894636627065173,0.2601026383591677,5.447258796615991,4.369899467870095,0.4971514925569799,-0.12693230933387656,88.22222222222223,2.52655192949001
2.0,1,0.5,2.0,5,2,systematic,1.0,6305,1674,4631,35,35,0,1583,0.734496431403648,0.02090800477897252,0.0,11.459685371301765,0.9911281679364817,0.2637972760493605,5.43435876969102,4.339836037025076,0.5208339933906962,-0.0914065867847183,180.11111111111111,2.5508223211965255
2.0,1,1.0,0.5,0,0,none,0.0,6292,2098,4194,1120,1120,1120,963,0.6665607120152575,0.5338417540514776,0.5338417540514776,3.427766355583375,0.6669353771583975,0.6146373059119686,0.6036680824250854,-0.13363373082698124,0.5845201912827868,-0.1730505212041373,0.0,3.2263612878712777
2.0,1,1.0,0.5,0,0,random,0.5,6294,2087,4207,1087,1087,560,987,0.6684143628852875,0.5208433157642549,0.26832774317201724,3.3015060284992956,0.6588163171773033,0.5990830438673603,0.592027521948483,-0.12117536455599663,0.5422167460877304,-0.14229466707240382,113.88888888888889,2.9159851287486656
2.0,1,1.0,0.5,0,0,systematic,1.0,6292,2098,4194,1120,1120,0,963,0.6665607120152575,0.5338417540514776,0.0,3.427766355583375,0.6669353771583975,0.6146373059119686,0.6036680824250854,-0.13363373082698124,0.5845201912827868,-0.1730505212041373,232.22222222222223,2.6129290162183465
2.0,1,1.0,0.5,0,2,none,0.0,6312,2072,4240,664,664,664,1382,0.6717363751584284,0.3204633204633205,0.3204633204633205,5.426391131817701,0.6663969104436724,0.8551796670674174,0.5796276125718085,-0.11219181310767912,1.85412631264177,0.9325936960589645,0.0,2.8699239665731673
2.0,1,1.0,0.5,0,2,random,0.5,6331,2150,4181,723,723,353,1406,0.6604012004422682,0.3362790697674419,0.1641860465116279,5.527886618200432,0.666512133556063,0.8793183819722181,0.6025548520480504,-0.11813827915082004,1.9132783943773326,0.9710284612657456,120.33333333333333,2.7054508293229613
2.0,1,1.0,0.5,0,2,systematic,1.0,6312,2072,4240,664,664,0,1382,0.6717363751584284,0.3204633204633205,0.0,5.426391131817701,0.6663969104436724,0.8551796670674174,0.5796276125718085,-0.11219181310767912,1.85412631264177,0.9325936960589645,229.55555555555554,2.545761681467086
