seed,policy,dam_tb,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
16,fifo,,ING,800.0,2352,2133,219,807,807,807,1284,20.32664536609589,30.372860043572487
16,fifo,,PREPA,800.0,482,436,46,106,106,106,312,21.309093233679107,33.19484294733455
16,fifo,20.0,ING,800.0,2315,778,0,0,0,0,778,6.886894996422691,12.666604261428954
16,fifo,20.0,PREPA,800.0,442,442,0,0,0,0,441,6.8981836219491415,19.238677342760795
16,priority_ing,,ING,800.0,2280,2150,130,846,846,846,1275,16.49593187445273,16.022719369582074
16,priority_ing,,PREPA,800.0,511,481,30,180,180,180,281,42.82094381235381,240.72444816085022
16,split_servers,,ING,800.0,2314,2031,283,618,618,618,1382,15.335295909217384,30.409583752865203
16,split_servers,,PREPA,800.0,464,406,58,112,112,112,265,46.142429658253775,346.8016431613736
17,fifo,,ING,800.0,2355,2207,148,828,828,828,1342,19.440958116566556,21.31059105723191
17,fifo,,PREPA,800.0,493,461,32,133,133,133,318,20.579444807491097,25.17930549069419
17,fifo,20.0,ING,800.0,2434,777,0,0,0,0,777,6.250403959040242,12.94592861266313
17,fifo,20.0,PREPA,800.0,462,462,0,0,0,0,462,6.499002503019137,16.867368520697205
17,priority_ing,,ING,800.0,2477,2345,132,927,927,927,1385,15.897185019319886,14.249415962846154
17,priority_ing,,PREPA,800.0,448,426,22,157,157,157,251,50.10665972601981,193.78048108703572
17,split_servers,,ING,800.0,2404,2028,376,650,650,650,1345,15.397472212518771,13.475337922528293
17,split_servers,,PREPA,800.0,495,420,75,124,124,124,269,63.551734252372825,293.31989692542027
18,fifo,,ING,800.0,2392,2204,188,851,851,851,1327,20.60067799900101,19.347470767120925
18,fifo,,PREPA,800.0,503,450,53,133,133,133,311,21.833602289476243,23.0508553206724
18,fifo,20.0,ING,800.0,2408,799,0,2,2,2,797,6.973554191302002,18.802227147854552
18,fifo,20.0,PREPA,800.0,467,467,0,1,1,1,466,6.715942409627213,19.803583564182986
18,priority_ing,,ING,800.0,2423,2250,173,958,958,958,1263,16.425325706675338,17.888067555414406
18,priority_ing,,PREPA,800.0,508,466,42,145,145,145,303,48.19382276149894,207.7811511543388
18,split_servers,,ING,800.0,2369,1984,385,598,598,598,1360,15.129758181574976,17.70564560343863
18,split_servers,,PREPA,800.0,499,428,71,115,115,115,282,57.32977489780972,408.8896813548191
19,fifo,,ING,800.0,2376,2263,113,930,930,930,1294,20.22975120548567,26.776267413777287
19,fifo,,PREPA,800.0,488,469,19,145,145,145,315,20.36801037364968,30.115828396412432
19,fifo,20.0,ING,800.0,2379,790,1,0,0,0,790,6.147802489361654,15.716543558840055
19,fifo,20.0,PREPA,800.0,531,530,1,0,0,0,527,6.469892335706851,18.10757989967318
19,priority_ing,,ING,800.0,2463,2310,153,986,986,986,1300,16.36546211166265,16.233291273553235
19,priority_ing,,PREPA,800.0,489,461,28,144,144,144,282,47.17690243762363,283.4894764173623
19,split_servers,,ING,800.0,2440,2097,343,759,759,759,1313,17.101446393653415,18.41944476921989
19,split_servers,,PREPA,800.0,496,432,64,139,139,139,264,52.42012587509292,450.67897071528074
20,fifo,,ING,800.0,2397,2235,162,916,916,916,1271,21.183545907129687,23.584899869948952
20,fifo,,PREPA,800.0,481,442,39,141,141,141,289,22.547377322433388,27.161486721602667
20,fifo,20.0,ING,800.0,2348,736,0,0,0,0,736,6.414504145330919,14.164706993104607
20,fifo,20.0,PREPA,800.0,470,470,0,0,0,0,469,6.463115035504468,17.897845239386832
20,priority_ing,,ING,800.0,2425,2258,167,945,945,945,1283,16.86937499088016,14.183965185896035
20,priority_ing,,PREPA,800.0,480,435,45,155,155,155,255,51.61360741840526,226.1751823731238
20,split_servers,,ING,800.0,2374,2068,306,701,701,701,1339,15.806684609958396,21.904105785714798
20,split_servers,,PREPA,800.0,467,413,54,127,127,127,253,57.61264011970751,329.87154693309196
