K,mu_f,ks,kf,tb,policy,population,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
2,1.0,10,30,,split_servers,PREPA,2617,1317,1300,589,589,589,682,0.4967520061138708,0.4472285497342445,0.4472285497342445,32.39193220186347
2,1.0,30,5,10.0,fifo,ING,12703,4037,143,1829,1829,1829,2125,0.011257183342517515,0.45305920237800346,0.45305920237800346,11.740237541739688
2,1.0,30,5,10.0,fifo,PREPA,2535,2490,45,703,703,703,1757,0.01775147928994083,0.2823293172690763,0.2823293172690763,12.00952074385531
2,1.0,30,5,10.0,priority_ing,ING,12698,4237,56,1973,1973,1973,2171,0.004410143329658214,0.4656596648572103,0.4656596648572103,7.1144621088461975
2,1.0,30,5,10.0,priority_ing,PREPA,2528,2511,17,689,689,689,1740,0.006724683544303798,0.2743926722421346,0.2743926722421346,18.203625826839023
2,1.0,30,5,10.0,split_servers,ING,12608,3099,1049,910,910,910,2130,0.0832011421319797,0.2936431106808648,0.2936431106808648,6.812543297427038
2,1.0,30,5,10.0,split_servers,PREPA,2590,2259,331,459,459,459,1610,0.1277992277992278,0.20318725099601595,0.20318725099601595,47.69155257233856
2,1.0,30,5,30.0,fifo,ING,12708,3979,186,2079,2079,2079,1885,0.014636449480642116,0.5224930887157577,0.5224930887157577,11.617163022059765
2,1.0,30,5,30.0,fifo,PREPA,2487,2440,47,548,548,548,1849,0.01889827100924809,0.22459016393442624,0.22459016393442624,11.055860419687114
2,1.0,30,5,30.0,priority_ing,ING,12529,3993,41,2247,2247,2247,1745,0.0032724080134088913,0.5627347858752817,0.5627347858752817,7.501482491994029
2,1.0,30,5,30.0,priority_ing,PREPA,2571,2560,11,431,431,431,2000,0.004278490859587709,0.168359375,0.168359375,14.014782791032362
2,1.0,30,5,30.0,split_servers,ING,12673,3161,972,1305,1305,1305,1850,0.07669849285883375,0.41284403669724773,0.41284403669724773,10.608689550734066
2,1.0,30,5,30.0,split_servers,PREPA,2507,2276,231,497,497,497,1600,0.09214200239329877,0.21836555360281196,0.21836555360281196,33.693349178783485
2,1.0,30,5,,fifo,ING,12719,7928,4791,4423,4423,4423,3306,0.3766805566475352,0.5578960645812311,0.5578960645812311,18.560177019318658
2,1.0,30,5,,fifo,PREPA,2530,1586,944,676,676,676,862,0.3731225296442688,0.4262295081967213,0.4262295081967213,19.468429782358953
2,1.0,30,5,,priority_ing,ING,12541,8219,4322,4717,4717,4717,3453,0.34462961486324856,0.5739141014721986,0.5739141014721986,7.241549546938864
2,1.0,30,5,,priority_ing,PREPA,2543,1700,843,721,721,721,781,0.33149823043649235,0.42411764705882354,0.42411764705882354,71.70449628762174
