seed,K,mu_f,ks,kf,tb,policy,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
6,2,1.0,10,5,30.0,split_servers,PREPA,600.0,359,270,89,37,37,37,221,20.56951040660367,79.32029835972325
7,2,1.0,10,5,30.0,split_servers,ING,600.0,1859,342,255,143,143,143,199,7.997289884233575,14.393171805879549
7,2,1.0,10,5,30.0,split_servers,PREPA,600.0,383,300,83,58,58,58,232,13.420312471733327,59.56001635290907
1,2,1.0,10,30,,fifo,ING,600.0,1778,1170,608,679,679,679,460,34.40157912040172,73.81576602185467
1,2,1.0,10,30,,fifo,PREPA,600.0,359,222,137,101,101,101,111,36.86792082879076,61.518691231305425
2,2,1.0,10,30,,fifo,ING,600.0,1824,1160,664,667,667,667,462,34.35428077280611,55.406590778384384
2,2,1.0,10,30,,fifo,PREPA,600.0,361,229,132,101,101,101,120,34.44411168735577,62.281806835898735
3,2,1.0,10,30,,fifo,ING,600.0,1831,1203,628,704,704,704,472,33.41612849629615,37.670052300459155
3,2,1.0,10,30,,fifo,PREPA,600.0,333,220,113,80,80,80,132,33.5868468727282,42.25586201245719
4,2,1.0,10,30,,fifo,ING,600.0,1814,1224,590,740,740,740,449,35.5547648540603,67.38530861647288
4,2,1.0,10,30,,fifo,PREPA,600.0,356,233,123,110,110,110,116,36.27402371456711,76.18118373625937
5,2,1.0,10,30,,fifo,ING,600.0,1745,1172,573,672,672,672,464,33.860545562509905,64.29744780900279
5,2,1.0,10,30,,fifo,PREPA,600.0,375,227,148,100,100,100,122,35.51636519522326,60.95329548650184
6,2,1.0,10,30,,fifo,ING,600.0,1832,1038,794,559,559,559,449,36.20725670446262,58.89209963308891
6,2,1.0,10,30,,fifo,PREPA,600.0,373,214,159,91,91,91,114,37.74887998689819,61.027208195068866
7,2,1.0,10,30,,fifo,ING,600.0,1830,1117,713,554,554,554,534,30.798925479269414,56.359507435859534
7,2,1.0,10,30,,fifo,PREPA,600.0,368,232,136,100,100,100,126,31.818630716199472,56.72170821701781
1,2,1.0,10,30,,priority_ing,ING,600.0,1817,1128,689,609,609,609,491,30.588239418552227,59.849193664687746
1,2,1.0,10,30,,priority_ing,PREPA,600.0,361,214,147,97,97,97,106,50.939459926399536,133.28485511802955
2,2,1.0,10,30,,priority_ing,ING,600.0,1816,1109,707,586,586,586,496,29.802778099419637,43.37921736601708
2,2,1.0,10,30,,priority_ing,PREPA,600.0,365,226,139,87,87,87,126,47.803465620387854,118.52784415539107
3,2,1.0,10,30,,priority_ing,ING,600.0,1821,1151,670,611,611,611,517,29.405262767180606,43.82179623622557
3,2,1.0,10,30,,priority_ing,PREPA,600.0,351,226,125,99,99,99,111,46.94201631230681,105.40422102896531
4,2,1.0,10,30,,priority_ing,ING,600.0,1771,1209,562,681,681,681,498,30.2570618963787,45.76188774177192
4,2,1.0,10,30,,priority_ing,PREPA,600.0,350,238,112,114,114,114,112,46.319648550395996,108.86087603233275
5,2,1.0,10,30,,priority_ing,ING,600.0,1857,1150,707,663,663,663,457,32.79259422948386,57.42778323584914
5,2,1.0,10,30,,priority_ing,PREPA,600.0,353,203,150,88,88,88,103,51.97014889967202,77.80081594264752
6,2,1.0,10,30,,priority_ing,ING,600.0,1770,1134,636,628,628,628,478,31.022704222625144,59.942617078964105
6,2,1.0,10,30,,priority_ing,PREPA,600.0,370,228,142,100,100,100,117,47.35978266521993,94.75322712753496
7,2,1.0,10,30,,priority_ing,ING,600.0,1833,1082,751,551,551,551,498,29.01305484722002,52.399186782963014
7,2,1.0,10,30,,priority_ing,PREPA,600.0,404,232,172,84,84,84,138,47.202660792602025,110.96381708205577
1,2,1.0,10,30,,split_servers,ING,600.0,1810,871,939,346,346,346,493,36.94869942150767,73.20212151907486
1,2,1.0,10,30,,split_servers,PREPA,600.0,380,174,206,80,80,80,86,31.894739616683616,73.39382272317908
2,2,1.0,10,30,,split_servers,ING,600.0,1741,883,858,310,310,310,533,32.1698176309135,60.676110659528355
2,2,1.0,10,30,,split_servers,PREPA,600.0,372,194,178,74,74,74,118,30.2547690286572,85.19488944949174
3,2,1.0,10,30,,split_servers,ING,600.0,1784,961,823,412,412,412,518,33.63899833246827,68.11776908584532
3,2,1.0,10,30,,split_servers,PREPA,600.0,373,193,180,90,90,90,94,32.62859209641249,95.29203920664624
4,2,1.0,10,30,,split_servers,ING,600.0,1790,908,882,334,334,334,542,32.47111909153397,45.94061326059146
4,2,1.0,10,30,,split_servers,PREPA,600.0,347,179,168,70,70,70,104,31.27378587240662,69.68650805929278
5,2,1.0,10,30,,split_servers,ING,600.0,1812,900,912,368,368,368,500,34.86889518940181,73.30845074702323
5,2,1.0,10,30,,split_servers,PREPA,600.0,362,185,177,94,94,94,87,33.63985908158435,132.13168472564297
6,2,1.0,10,30,,split_servers,ING,600.0,1749,851,898,339,339,339,480,35.77790433384424,62.38254204829691
6,2,1.0,10,30,,split_servers,PREPA,600.0,405,206,199,96,96,96,100,35.80244604929277,87.26642506298701
7,2,1.0,10,30,,split_servers,ING,600.0,1854,900,954,352,352,352,515,34.78462727465359,80.76946554646904
7,2,1.0,10,30,,split_servers,PREPA,600.0,378,186,192,85,85,85,93,31.739932004670585,81.69671340809231
1,2,1.0,10,30,10.0,fifo,ING,600.0,1839,528,95,175,175,175,325,30.854738859435237,65.87326644225142
1,2,1.0,10,30,10.0,fifo,PREPA,600.0,345,318,27,61,61,61,242,31.17445042397454,71.43806969152156
2,2,1.0,10,30,10.0,fifo,ING,600.0,1809,489,68,141,141,141,325,28.513639748094192,64.41478654957159
2,2,1.0,10,30,10.0,fifo,PREPA,600.0,353,326,27,55,55,55,254,29.610142249955985,76.75216750440869
3,2,1.0,10,30,10.0,fifo,ING,600.0,1857,513,87,217,217,217,280,33.208023758749654,58.265415243322536
3,2,1.0,10,30,10.0,fifo,PREPA,600.0,373,343,30,62,62,62,264,33.43969343815555,59.05022429719074
4,2,1.0,10,30,10.0,fifo,ING,600.0,1785,495,104,133,133,133,350,27.13410323616697,46.581796582642966
4,2,1.0,10,30,10.0,fifo,PREPA,600.0,391,360,31,56,56,56,278,27.150859729419864,63.87612454614421
5,2,1.0,10,30,10.0,fifo,ING,600.0,1827,509,134,126,126,126,355,28.35922589031627,53.08380605374069
5,2,1.0,10,30,10.0,fifo,PREPA,600.0,343,322,21,35,35,35,274,27.956626182502173,54.0377351553257
6,2,1.0,10,30,10.0,fifo,ING,600.0,1779,535,71,178,178,178,333,29.921074103572405,62.87640878125487
6,2,1.0,10,30,10.0,fifo,PREPA,600.0,320,300,20,58,58,58,235,31.72533323862532,78.25775449422193
7,2,1.0,10,30,10.0,fifo,ING,600.0,1876,522,111,178,178,178,320,29.854284509685293,83.67824287614047
7,2,1.0,10,30,10.0,fifo,PREPA,600.0,366,343,23,79,79,79,251,31.603363053003658,75.56215531614222
1,2,1.0,10,30,10.0,priority_ing,ING,600.0,1783,494,68,120,120,120,351,27.069200385759917,42.73988105065069
1,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,349,333,16,53,53,53,272,30.702076013951,61.929823712720335
2,2,1.0,10,30,10.0,priority_ing,ING,600.0,1842,495,100,187,187,187,287,29.861409494835186,88.78087577259335
2,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,365,340,25,59,59,59,266,33.37691740148206,92.95263525487752
3,2,1.0,10,30,10.0,priority_ing,ING,600.0,1782,563,79,179,179,179,364,26.913660183648133,37.65673177490104
3,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,367,350,17,67,67,67,265,31.635727259760454,67.9331865000649
4,2,1.0,10,30,10.0,priority_ing,ING,600.0,1801,536,53,181,181,181,342,27.38810323660689,58.52499831998917
4,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,368,352,16,67,67,67,261,30.983109702969664,87.22511470739978
5,2,1.0,10,30,10.0,priority_ing,ING,600.0,1780,518,70,201,201,201,304,29.774027382393236,58.05280081878066
5,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,383,370,13,84,84,84,265,34.09332764846912,78.33399532269932
6,2,1.0,10,30,10.0,priority_ing,ING,600.0,1721,521,33,164,164,164,336,29.5375314019943,55.94109533046194
6,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,341,330,11,86,86,86,227,32.503824837959534,84.73969374389466
7,2,1.0,10,30,10.0,priority_ing,ING,600.0,1833,547,42,192,192,192,341,28.312951469710477,59.15719904321681
7,2,1.0,10,30,10.0,priority_ing,PREPA,600.0,356,346,10,73,73,73,253,30.808926862480487,79.01774985357979
1,2,1.0,10,30,10.0,split_servers,ING,600.0,1873,405,224,74,74,74,309,24.654612938883734,92.09571684730989
1,2,1.0,10,30,10.0,split_servers,PREPA,600.0,360,284,76,29,29,29,239,33.648881597549554,124.94045528662708
2,2,1.0,10,30,10.0,split_servers,ING,600.0,1772,371,242,24,24,24,332,20.551046601615724,85.79858446247731
2,2,1.0,10,30,10.0,split_servers,PREPA,600.0,367,305,62,15,15,15,271,29.98014513892468,127.17766977657419
3,2,1.0,10,30,10.0,split_servers,ING,600.0,1831,382,220,65,65,65,303,24.185166049008064,116.05479486374513
3,2,1.0,10,30,10.0,split_servers,PREPA,600.0,366,314,52,39,39,39,253,36.520922011628585,132.30799296319748
4,2,1.0,10,30,10.0,split_servers,ING,600.0,1813,442,155,72,72,72,343,26.245085188986874,62.10868044251525
4,2,1.0,10,30,10.0,split_servers,PREPA,600.0,359,307,52,33,33,33,259,34.35059875738424,135.40685121810012
5,2,1.0,10,30,10.0,split_servers,ING,600.0,1830,379,210,69,69,69,309,25.345680423122847,117.43135870221214
5,2,1.0,10,30,10.0,split_servers,PREPA,600.0,392,291,101,26,26,26,254,36.059530004551775,126.31572314826873
6,2,1.0,10,30,10.0,split_servers,ING,600.0,1744,388,183,44,44,44,335,22.804092089808634,77.00632206704341
6,2,1.0,10,30,10.0,split_servers,PREPA,600.0,361,293,68,28,28,28,253,35.2488353805039,68.45529114020394
7,2,1.0,10,30,10.0,split_servers,ING,600.0,1871,354,257,39,39,39,292,20.123029179336612,116.4276371132179
7,2,1.0,10,30,10.0,split_servers,PREPA,600.0,398,304,94,17,17,17,268,32.864927905460796,138.37046475408192
1,2,1.0,10,30,30.0,fifo,ING,600.0,1812,441,114,134,134,134,285,27.804276673398526,59.59814331776336
1,2,1.0,10,30,30.0,fifo,PREPA,600.0,352,333,19,40,40,40,281,27.274457767381104,88.09061480406012
2,2,1.0,10,30,30.0,fifo,ING,600.0,1833,456,176,152,152,152,283,28.840509152886373,70.83953972340291
2,2,1.0,10,30,30.0,fifo,PREPA,600.0,345,317,28,25,25,25,289,29.39255826966306,72.44503407135429
3,2,1.0,10,30,30.0,fifo,ING,600.0,1818,443,145,120,120,120,306,25.171533146670026,101.34804048324915
3,2,1.0,10,30,30.0,fifo,PREPA,600.0,368,346,22,38,38,38,296,25.41687751822611,83.74193052258052
4,2,1.0,10,30,30.0,fifo,ING,600.0,1845,470,104,131,131,131,322,25.96050801784536,71.48971964055693
4,2,1.0,10,30,30.0,fifo,PREPA,600.0,349,325,24,26,26,26,283,24.75107130800186,103.99324559400961
5,2,1.0,10,30,30.0,fifo,ING,600.0,1778,446,124,72,72,72,363,23.912052207155263,76.61657305880247
5,2,1.0,10,30,30.0,fifo,PREPA,600.0,343,311,32,31,31,31,274,23.344026465147948,67.27608277250972
6,2,1.0,10,30,30.0,fifo,ING,600.0,1710,425,120,112,112,112,296,25.71705014937943,87.19563303479406
6,2,1.0,10,30,30.0,fifo,PREPA,600.0,362,341,21,38,38,38,290,25.937536770273294,96.83417034973942
7,2,1.0,10,30,30.0,fifo,ING,600.0,1866,383,194,72,72,72,293,28.183476874485887,94.6715050407753
7,2,1.0,10,30,30.0,fifo,PREPA,600.0,392,354,38,49,49,49,292,26.638640491551154,104.4932831389715
1,2,1.0,10,30,30.0,priority_ing,ING,600.0,1844,459,143,135,135,135,308,27.445166528004872,64.63611320797209
1,2,1.0,10,30,30.0,priority_ing,PREPA,600.0,335,311,24,36,36,36,267,28.89500343335542,129.05416351084378
